Code,Index,IsTurnedOn,Name,LongName,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,VerticallyMigrates,HorizontallyMigrates,IsFished,IsImpacted,isTAC,GroupType,IsPredator,IsCover,IsSiliconDep,IsAssessed,IsCatchGrazer,OverWinters,isCultured,isHabDepend,numMoveSeaons
FPS,0,1,Planktiv_S_Fish,Small planktivorous fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
FVS,1,1,Pisciv_S_Fish,Shallow piscivorous fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
FVT,2,1,Pisciv_T_Fish,Large piscivorous fish (tuna),10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
FDS,3,1,Demersal_S_Fish,Other shallow demersal fish,10,1,2,1,3,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
SHD,4,1,Shark_D,Other demersal sharks,10,1,2,1,3,1,1,1,1,1,1,SHARK,1,0,0,1,0,0,0,0,4
SB,5,1,Seabird,Seabirds,10,1,2,1,4,1,1,1,1,1,1,BIRD,1,0,0,1,0,0,0,0,4
PIN,6,1,Pinniped,Pinnipeds,10,1,2,1,2,1,1,1,1,1,1,MAMMAL,1,0,0,1,1,0,0,0,4
WHB,7,1,Whale_Baleen,Baleen whales,10,1,2,1,6,1,1,1,1,1,1,MAMMAL,1,0,0,1,0,0,0,0,4
WHT,8,1,Whale_Tooth,Toothed whales ,10,1,2,1,8,1,1,1,1,1,1,MAMMAL,1,0,0,1,1,0,0,0,4
CEP,9,1,Cephalopod,Cephalopod,2,1,2,1,1,1,1,1,1,1,1,CEP,1,0,0,1,0,0,0,0,4
BFS,10,1,Filter_Shallow,Shallow benthic filter feeder,1,1,1,1,1,1,0,0,1,1,1,SED_EP_FF,1,1,0,1,0,0,0,0,4
BFF,11,1,Filter_Other,Other benthic filter feeder,1,1,1,1,1,1,0,0,1,1,1,SED_EP_FF,1,1,0,1,0,0,0,0,4
BG,12,1,Benthic_grazer,Benthic grazer,1,1,1,1,1,1,0,0,1,1,1,SED_EP_OTHER,1,0,0,1,0,0,0,0,4
BMD,13,1,Macrobenth_Deep,Deep macrozoobenthos,1,1,1,1,1,1,0,0,1,1,1,MOB_EP_OTHER,1,0,0,1,0,0,0,0,4
BML,14,1,Megazoobenthos,Megazoobenthos,1,1,1,1,1,1,1,1,1,1,1,MOB_EP_OTHER,1,0,0,1,0,0,0,0,4
BMS,15,1,Macrobenth_Shallow,Shallow macrozoobenthos,1,1,1,1,1,1,0,0,1,1,1,MOB_EP_OTHER,1,0,0,1,0,0,0,0,4
PWN,16,0,Prawn,Prawn,2,1,1,1,1,1,1,1,1,1,1,PWN,1,0,0,1,0,0,0,0,4
ZL,17,1,Carniv_Zoo,Carnivorous zooplankton,1,1,1,1,1,1,1,1,1,1,1,LG_ZOO,1,0,0,1,0,0,0,0,4
BD,18,1,Deposit_Feeder,Deposit Feeder,1,1,1,1,1,1,0,0,1,1,1,LG_INF,1,0,0,1,0,0,0,0,4
MA,19,1,Macroalgae,Macroalgae,1,1,1,1,1,1,0,0,1,1,1,PHYTOBEN,0,1,0,1,0,0,0,0,4
MB,20,0,MicroPB,Microphtybenthos,1,1,1,1,1,1,0,0,0,1,1,MICROPHTYBENTHOS,0,1,1,1,0,0,0,0,4
SG,21,1,Seagrass,Seagrass,1,1,1,1,1,1,0,0,0,1,1,SEAGRASS,0,1,0,1,0,0,0,0,4
BC,22,1,Benthic_Carniv,Benthic Carnivore,1,1,1,1,1,1,0,0,0,1,1,LG_INF,1,0,0,1,0,0,0,0,4
ZG,23,1,Gelat_Zoo,Gelatinous zooplankton,1,1,1,1,1,1,1,0,0,1,1,LG_ZOO,1,0,0,1,0,0,0,0,4
PL,24,1,Diatom,Diatom,1,1,1,1,1,1,0,0,0,0,0,LG_PHY,0,0,1,1,0,0,0,0,4
DF,25,0,DinoFlag,Dinoflagellates,1,1,1,1,1,1,0,0,0,0,0,DINOFLAG,1,0,0,1,0,0,0,0,4
PS,26,1,PicoPhytopl,Pico-phytoplankton,1,1,1,1,1,1,0,0,0,0,0,SM_PHY,0,0,0,1,0,0,0,0,4
ZM,27,1,Zoo,Mesozooplankton,1,1,1,1,1,1,1,0,0,0,0,MED_ZOO,1,0,0,1,0,0,0,0,4
ZS,28,1,MicroZoo,Microzooplankton,1,1,1,1,1,1,1,0,0,0,0,SM_ZOO,1,0,0,1,0,0,0,0,4
PB,29,1,Pelag_Bact,Pelagic Bacteria,1,1,1,1,1,1,0,0,0,0,0,PL_BACT,0,0,0,0,0,0,0,0,4
BB,30,1,Sed_Bact,Sediment Bacteria,1,1,1,1,1,1,0,0,0,0,0,SED_BACT,0,0,0,0,0,0,0,0,4
BO,31,1,Meiobenth,Meiobenthos,1,1,1,1,1,1,0,0,0,0,0,SM_INF,1,0,0,0,0,0,0,0,4
DL,32,1,Lab_Det,Labile detritus,1,1,1,1,1,1,0,0,0,0,0,LAB_DET,0,0,0,1,0,0,0,0,4
DR,33,1,Ref_Det,Refractory detritus,1,1,1,1,1,1,0,0,0,0,0,REF_DET,0,0,0,1,0,0,0,0,4
DC,34,1,Carrion,Carrion3,1,1,1,1,1,1,0,0,0,0,0,CARRION,0,0,0,1,0,0,0,0,4
